com_name,province,city,credit_no,legal_person,com_type,com_cate,data_eastablish,capital,num_emp,locate,email,bussiness_scope,com_url,phone,more_phone
隆发鞋业（惠州）有限公司,广东省,-,91441322782039312K,苏启声,有限责任公司(外国法人独资),皮革、毛皮、羽毛及其制品和制鞋业,2005-11-18,-,6810,博罗县龙溪镇龙庭工业区,ftlcw03@ms8.deanshoes.com,生产、销售：各款鞋类及半成品、鞋配件等。产品在国内外市场销售。对位于龙溪镇宫庭村南亚地段和龙溪镇宫庭村委会地段的自有厂房除自用外部分用于租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0752-6298333,"[""0752-6298333""]"
广东宝力电器有限公司,广东省,江门市,91440700739890742W,邝竞安,有限责任公司(中外合资),电气机械和器材制造业,2002-06-25,127.05万美元,6410,江门市新会区会城街道七堡工贸城南区1、2、3、4号,fang@powermax-cn.com,生产经营吊扇、落地扇、高速扇、分马力电机等机电产品以及日用电器、电照明器具、太阳能器具、燃气器具、机电产品注塑成型，产品百分之八十外销。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,powermax.jd.com,6688068,"[""6688068""]"
周生生（中国）商业有限公司,广东省,广州市,91440101717863380H,周永成,有限责任公司(台港澳法人独资),批发业,2006-03-08,150000万港元,6087,广州市天河区黄埔大道西100号富力盈泰广场第B幢16层1601-08室,li.feng.jun@chowsangsang.com,服装批发;钟表批发;箱、包批发;钻石饰品批发;宝石饰品批发;玉石饰品批发;水晶首饰批发;工艺品批发;珍珠饰品批发;皮革及皮革制品批发;五金产品批发;佣金代理;黄金制品批发;白银制品批发;铂金制品批发;百货零售（食品零售除外）;日用杂品综合零售;服装零售;箱、包零售;钟表零售;小饰物、小礼品零售;钻石首饰零售;宝石饰品零售;玉石饰品零售;水晶饰品零售;珍珠饰品零售;工艺美术品零售;五金零售;黄金制品零售;白银制品零售;铂金制品零售;市场营销策划服务;钟表维修服务;日用器皿及日用杂货批发;贵金属检测服务;珠宝玉石检测服务;,cneshop.chowsangsang.com,020-38392288,"[""020-38392288"",""38392288""]"
佛山群志光电有限公司,广东省,佛山市,91440605787926826M,林清辉,有限责任公司(外国法人独资),计算机、通信和其他电子设备制造业,2006-04-21,-,9784,佛山市南海区南海科技工业园兴业北路,718592136@qq.com,新型平板显示器件及其零配件、数字电视机及其零配件、相关新型电子元器件及其模具、治工具、自动化设备及其零部件的开发、加工、生产，销售公司自产产品并提供同类产品的维修服务；从事上述产品的同类商品的批发、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0757-29904055,"[""0757-29904055"",""29904078""]"
广东海信冰箱营销股份有限公司,广东省,佛山市,91440606086807103G,段跃斌,股份有限公司(非上市、自然人投资或控股),零售业,2013-12-23,59.4万人民币,6756,佛山市顺德区容桂街道容港路8号3楼,cencaixia@hisense.com,电冰箱、冷柜、洗衣机、生活电器等家用电器产品的销售及其售后服务、技术服务。,login.taobao.com/member/login.jhtml?from=taobaoindex&f=top&style=&sub=true&redirect_url=%3A%2F%2Fmyseller.taobao.com%2Fseller_admin.htm,0757-28361224,"[""0757-28361224"",""28361224""]"
陆逊梯卡华宏（东莞）眼镜有限公司,广东省,东莞市,914419007417490512,路易吉.弗兰卡维拉,有限责任公司(外国法人独资),仪器仪表制造业,2002-09-19,-,9297,东莞市高埗镇欧邓村,alice.wang@cn.luxottica.com,生产和销售眼镜及其零配件，内设配套电镀车间；眼镜制造设备、模具，并提供相关售后服务；提供眼镜包装服务（不含印刷工序），为关联企业提供商务服务、仓储服务及物流协助服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0769-88870241,"[""0769-88870241""]"
肇庆市现代筑美家居有限公司,广东省,-,914412006698179606,梁裕尤,有限责任公司(外国法人独资),家具制造业,2007-12-12,3000万美元,5248,肇庆高新技术开发区临江工业园,lizhimin01@modernjj.com,家具、门窗类（木质、钢质、铝合金）的制造、安装及技术开发，装饰材料加工，销售家具、门窗类（木质、钢质、铝合金）、卫浴洁具、厨房设备、装饰材料等家居及配套产品，开发、生产和销售高档水暖器材、幕墙、石材及五金件，自营和代理各类商品及技术的进出口业务，自有产品网上销售，家居装饰装修工程设计及施工。,www.modernjj.com,3103683,"[""3103683"",""0758-3103752""]"
深圳市保安服务有限公司,广东省,深圳市,91440300192190784D,罗国良,有限责任公司（自然人投资或控股的法人独资）,商务服务业,1985-01-21,5000万人民币,6566,深圳市罗湖区南湖路2011号庆安大厦十一层,szba@szbafw.com,安检设备的租赁、检测、维护；安全技术防范工程设计；机房装饰、保安装置和设备安装、保养、维修；计算机硬件集成及软件开发、销售、维护；安防工程咨询（不含限制项目）；工程监理；建筑智能化工程设计、施工、维护及咨询；安防产品研发与销售；汽车租赁（不含融资租赁等金融租赁项目）；物业管理；房屋租赁；代办技防年审。（以上项目涉及资质证的需取得资质证后方可经营）保安服务；劳务派遣；安保报警服务（远程视频报警）；警用装备及器材的购销；承接货币、有价证券、金银珠宝、文物艺术品等贵重物资的押运及守护；承接危化品的押运及守护；承接现金清分、财产保全，银行自助设备清机、加钞、押运、巡检维护、卫生清洁；保安培训；普通货运。（以上项目涉及资质证的需取得资质证后方可经营）,www.szbafw.com,0755-82177907,"[""0755-82177907"",""0755-82177650"",""0755-82217650"",""82295662""]"
东莞山本电子科技有限公司,广东省,东莞市,914419006183697076,高桥俊雄,有限责任公司(外国法人独资),仪器仪表制造业,1994-12-19,20420万港元,7907,东莞市虎门港麻涌新沙工业区,296350754@163.com,生产、销售和加工新型电子元器件（新型机电元件：印刷多层线路板）、电子钟表、小五金件、五金电镀、印刷线路板，并在国内采购生产线路板的原辅材料（涉证涉限除外）出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0769-88227094,"[""0769-88227094""]"
东莞东聚电子电讯制品有限公司,广东省,东莞市,914419006177619698,张振德,有限责任公司(台港澳与外国投资者合资),计算机、通信和其他电子设备制造业,1995-12-21,6200万美元,6657,东莞市石碣镇新城区三横路刘屋道路段,gmbox@primax.com.cn,生产和销售扫描器、电脑插线等电脑周边配件、插座、注塑产品、五金、塑胶模具、手提式电子游戏机、电子游戏机（不含赌博成分）、空气清新器、空气滤清器、碎纸机、装钉机、裁纸机、除湿机、加湿机、吸尘机、打孔机、幻灯机、电源延长插座、护贝机、收银机、芳香灯、过胶机、电子轨迹球、鼠标器、线路板（包括加值卡、控制卡）、控制器、充电电池、条码输入器、塑胶粒（塑胶料为新料）、电话机用零配件（含电话钳、电话铃、接头线、转接头、连接线、接线盒等）、充电器、电话线、电脑线等线材加工、镭射印表机、载波器、信息终端集成器、多功能事务机、遥控器、键盘、彩色打印机、线路板（包括控制卡、多媒体控制器、电路板、主控制板端零件、电脑多功能附加卡、多媒体适能卡）、音箱、数据机、静电监测器、离子产生器、硬盘连接卡（PC卡）、数码照相机及相关配套件、小变压器、打印控制器、电路板组装件（含电子零件）、数位式电子吉他及其零件、电脑电子产品零配件、电子感应器及其零配件、语音数据资料运输通讯电子产品及其周边设备、数字视频摄像头及其零组件、宽带接入网通信系统设备（信息终端集成器）、新型打印装置（激光扫描打印机）、办公产品、平板电脑、金属制品模具、非金属制品模具、无线POS终端机及有线POS终端机（不含税控收款机等涉限涉证产品）。自有厂房出租服务、技术咨询服务、设立研发机构、研究和开发自产产品；企业管理服务。（以上项目不涉及外商投资准入特别管理措施）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.primax.com.cn,0769-82293666,"[""0769-82293666"",""0769-86631652""]"
广州市白马巴士有限公司,广东省,-,91440116745973616R,范水煌,有限责任公司(自然人投资或控股),道路运输业,2003-01-14,-,8717,广州经济技术开发区大观北路68号101房,jumbobus@163.com,投资咨询服务;广告业;企业管理咨询服务;公共电汽车客运;,-,82284589,"[""82284589"",""82297556"",""020-82284589""]"
东莞兴腾鞋材有限公司,广东省,东莞市,91441900781197861H,谢东壁,有限责任公司(外国法人独资),皮革、毛皮、羽毛及其制品和制鞋业,2005-11-02,1942万美元,5031,广东省东莞市大岭山镇厚大路大岭山段348号40号楼,jaoe.cao@stella.com.hk,生产和销售鞋材、鞋底、橡胶制品和塑胶制品、鞋；自有房屋租赁。（以上项目不涉及外商投资准入特别管理措施）(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0769-38938588,"[""0769-38938588"",""13826945356"",""0769-83058898""]"
明安运动器材（东莞）有限公司,广东省,东莞市,9144190071220962XU,郑锡坤,有限责任公司(外国法人独资),文教、工美、体育和娱乐用品制造业,1998-11-16,3562万港元,5105,东莞市虎门镇龙眼村,silan.yang@adgroup.com.tw,生产和销售高尔夫运动器材用品、复合材料脚踏车零部件、复合材料电子零配件、复合材料电器零配件、自行车、自行车配件、玻璃纤维制品、五金制品；从事运动器材、自行车及其配件的批发及进出口业务（涉限涉证及涉国家宏观调控行业除外，涉及配额许可证管理、专项规定管理的按有关规定办理）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0769-85555321,"[""0769-85555321""]"
广东南方人力资源服务有限公司,广东省,广州市,914401015602084086,李伟鹏,其他有限责任公司,商务服务业,2010-08-05,1100万人民币,6996,广州市越秀区环市东路334号1901-1909房（不可作厂房使用）,401629207@qq.com,职业技能培训（不包括需要取得许可审批方可经营的职业技能培训项目）;人才招聘;人才测评;收集、整理、储存和发布人才供求信息;人才资源开发与管理咨询;人才租赁;人才择业咨询指导;人才信息网络服务;呼叫中心;对外劳务合作;人才推荐;劳务派遣服务;人才培训;电子产品批发;数据处理和存储服务;通信设备零售;档案管理服务;酒店管理;档案管理技术服务;餐饮管理;信息系统集成服务;工程技术咨询服务;企业管理咨询服务;通信系统工程服务;教育咨询服务;计算机网络系统工程服务;受企业委托从事通信网络的维修、维护（不涉及线路管道铺设等工程施工）;信息技术咨询服务;建筑物清洁服务;市场营销策划服务;绿化管理、养护、病虫防治服务;工程项目管理服务;企业管理服务（涉及许可经营项目的除外）;医院管理;家庭服务;工程监理服务;汽车租赁;建筑劳务分包;业务流程外包;装卸搬运;打包、装卸、运输全套服务代理;物流代理服务;仓储代理服务;其他仓储业（不含原油、成品油仓储、燃气仓储、危险品仓储）;道路货物运输代理;通信系统设备制造;通信终端设备制造;通信线路和设备的安装;通信基站设施租赁;为留学人员提供创业、投资项目的信息咨询服务;通信技术研究开发、技术服务;电子、通信与自动控制技术研究、开发;会议及展览服务;仓储咨询服务;公司礼仪服务;以服务外包方式从事职能管理服务和项目管理服务以及人力资源服务和管理;通信交换设备专业修理;人力资源外包;大型活动组织策划服务（大型活动指晚会、运动会、庆典、艺术和模特大赛、艺术节、电影节及公益演出、展览等，需专项审批的活动应在取得审批后方可经营）;汽车销售;电动机销售;通用机械设备销售;电气机械设备销售;汽车充电模块销售;电工金具的销售;电力销售代理;机器人销售;智能机器系统销售;机器人系统销售;智能机器销售;二手车销售;教学用模型及教具制造;教学专用仪器制造;教学设备的研究开发;电工器材的批发;电工器材零售;智能机器系统技术服务;,www.southhr.cn,020-66353593,"[""020-66353593"",""66353593"",""020-66353598""]"
协顺灯饰（惠州）有限公司,广东省,惠州市,91441300707771415C,蔡武雄,有限责任公司(外国法人独资),文教、工美、体育和娱乐用品制造业,1998-08-25,-,5781,惠州市惠州大道小金口段305号,ketiany0901@163.com,生产和经营圣诞树、圣诞灯串、家庭照明产品及其它塑料装饰工艺品（产品１００％外销）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,0752-2297756,"[""0752-2297756"",""2297756""]"
佛山中原地产代理有限公司,广东省,佛山市,91440600756482513A,李耀智,有限责任公司(台港澳法人独资),房地产业,2003-12-12,880万港元,7498,佛山市禅城区城门头西路1号1606房,835051941@qq.com,物业和房地产中介代理服务及物业投资顾问、咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.centaline.com.cn,0757-82625583,"[""0757-82625583"",""82625583""]"
珠海市南方人力资源服务有限公司,广东省,珠海市,91440400759202994H,卢文捷,有限责任公司(自然人投资或控股),其他服务业,2004-02-12,1500万,6172,珠海市前山金鸡路122号人力资源大厦1-3层（不含档案库）,hrb@zh-hr.com,劳务派遣、人才派遣、人才交流、劳务交流、人才劳务信息服务、档案挂靠、代办社会保险、用工手续等劳动保障事务代理、互联网信息服务业务、以服务外包方式从事职能管理服务和项目管理服务；以承接服务方式从事项目管理、后勤保洁服务、企业管理、咨询服务；为企业提供业务、生产、后勤服务外包；广告宣传、广告策划、广告制作。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.zh-hr.com,暂无信息,-
广东三元麦当劳食品有限公司,广东省,广州市,914400006174015768,张家茵,有限责任公司(中外合资),餐饮业,1992-08-21,938.5万美元,5162,广东省广州市荔湾区康王中路486号和业广场2301、2401、2402、2403、2404号,liangya.huang@mcd.bigmac.com.cn,制造、生产、加工、经营和销售各种食品、饮料和餐饮产品；提供餐饮服务，提供餐饮外送服务；经营和出售礼品、纪念品、玩具、预付卡、优惠卡；图书、报纸、期刊、电子出版物的批发和零售（仅限分支机构经营）；前述经营项目含网络经营；以特许经营方式从事商业活动；提供经营管理、营销、市场、生产等咨询服务；出租或转租全部或部分现有营业场地（涉及行业许可、专项管理的按有关规定办理）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.mcdonalds.com.cn,020-83635008,"[""020-83635008""]"
中海物业管理广州有限公司,广东省,广州市,914401012312316589,刘忠,有限责任公司(法人独资),房地产业,1995-08-28,1580万人民币,6157,广州市越秀区先烈中路69号2821房,暂无信息,运动场馆服务（游泳馆除外）;婚姻服务;道路货物运输代理;礼品鲜花零售;五金零售;通用设备修理;旅客票务代理;电线、电缆批发;开关、插座、接线板、电线电缆、绝缘材料零售;建筑物清洁服务;园林绿化工程服务;百货零售（食品零售除外）;家庭服务;停车场经营;灯具、装饰物品批发;防虫灭鼠服务;场地租赁（不含仓储）;生活清洗、消毒服务;灯具零售;台球服务;五金产品批发;物业管理;房地产中介服务;室内装饰设计服务;游泳馆;理发服务;美容服务;,-,020-87325989,"[""020-87325989"",""87325989""]"
中山立辉金属制品有限公司,广东省,中山市,91442000618130683W,林志远,有限责任公司(外国法人独资),金属制品业,1995-06-02,5886万港元,8890,广东省中山市五桂山镇龙塘大山脚169号,lihui@asber.com,生产经营餐桌、餐椅、厨房、卫浴等家用钢铁器具及其相关制品（包括电镀铁线制品、烤漆铁线制品、塑料金属制品、陶瓷金属制品、木器金属制品等），金属线材制品，产品境内外销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,-,28179000,"[""28179000"",""28179042""]"
番禺镀化研机械制造有限公司,广东省,广州市,91440115708214709A,陈伟聪,有限责任公司(台港澳法人独资),通用设备制造业,1997-08-28,-,5572,广州市南沙区横沥镇番中公路横沥段2号(横沥所),704485789@qq.com,其他金属加工机械制造;汽车零部件及配件制造（不含汽车发动机制造）;日用塑料制品制造;塑料零件制造;金属表面处理及热处理加工;电镀设备及装置制造;,www.jma.com.hk,020-84962611,"[""020-84962611"",""84962611""]"
广州王老吉大健康企业发展有限公司,广东省,广州市,91440101340089427A,徐文流,有限责任公司(法人独资),酒、饮料和精制茶制造业,2015-04-20,1000万人民币,9139,广州市南沙区双山大道3号106（不可作厂房使用）,luojiedi@wljhealth.com,化妆品及卫生用品批发;化妆品及卫生用品零售;会议及展览服务;非许可类医疗器械经营;商品信息咨询服务;收藏品零售（国家专营专控的除外）;小饰物、小礼品零售;货物进出口（专营专控商品除外）;技术进出口;商品批发贸易（许可审批类商品除外）;商品零售贸易（许可审批类商品除外）;茶饮料及其他饮料制造;固体饮料制造;含乳饮料和植物蛋白饮料制造;果菜汁及果菜汁饮料制造;瓶（罐）装饮用水制造;碳酸饮料制造;精制茶加工;非酒精饮料、茶叶批发;非酒精饮料及茶叶零售;糕点、面包制造（不含现场制售）;糕点、糖果及糖批发;糖果、巧克力制造;蜜饯制作;米、面制品制造;乳制品制造;乳制品批发;预包装食品批发;预包装食品零售;饼干及其他焙烤食品制造（不含现场制售）;方便面及其他方便食品制造;蔬菜、水果罐头制造;其他罐头食品制造;保健食品制造;豆制品制造;食用植物油加工;,wljhealth.com/index.html,020-66282828,"[""020-66282828"",""18126893185"",""18126893815"",""020-66282812""]"
怡富万电业（惠州）有限公司,广东省,-,914413220845170497,谢国雄,有限责任公司(台港澳法人独资),橡胶和塑料制品业,2013-12-20,16500万人民币,9333,博罗县龙溪镇小蓬岗村怡富万大道2号,yunholy@everfull.com.cn,生产、加工、销售：PVC塑料粒、铜线、电源线、电线、电子线及其相关产品（不含电镀工序）；管理自有物业。产品在国内外市场销售。（以上项目不涉及外商投资准入特别管理措施）(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,www.linetek.com.cn,0752-6509988,"[""0752-6509988"",""13620221355"",""0755-28026679"",""13560788993""]"
